"address","parcel_id","latitude","longitude"
"849 LIVINGSTON AVE, Albany, NY, 12206","65.21-1-43",42.6771319,-73.7810297
"58 OSBORNE ST, Albany, NY, 12202","76.56-4-15",42.6423193,-73.76404922140763
"526 CENTRAL AVE, Albany, NY, 12206","65.37-3-53",42.6703989,-73.7793038
"33 SECOND AVE, Albany, NY, 12202","76.72-2-16",42.63782275,-73.76225224999999
"213 SPRUCE ST, Albany, NY, 12210","65.72-4-58",42.658,-73.7609854
"215 SPRUCE ST, Albany, NY, 12210","65.72-4-59",42.658099,-73.7609834
"617 THIRD ST, Albany, NY, 12206","65.30-1-62",42.6729148,-73.7762277
"505 S PEARL ST, Albany, NY, 12202","76.80-2-19",42.6356457,-73.761987
"88 MONTGOMERY ST, Albany, NY","76.27-1-10",42.6546257,-73.7473697
"26 ELM ST, Albany, NY, 12202","76.49-5-13",42.6458785,-73.7580574
"151 MYRTLE AVE, Albany, NY, 12202","76.40-2-28",42.64859635,-73.7652755
"26 SHERMAN ST, Albany, NY, 12210","65.80-1-30",42.6579129,-73.7637598
"309 WASHINGTON AVE, Albany, NY, 12206","65.71-3-43",42.65908,-73.7675532
"139 SHERIDAN AVE, Albany, NY, 12210","65.81-6-73",42.6562108,-73.7560613
"135 JEFFERSON ST, Albany, NY, 12210","76.32-4-32",42.6500733,-73.7643512
"78 SHERIDAN AVE, Albany, NY, 12210","76.26-2-35",42.6544599,-73.754254
"23 SPRUCE ST, Albany, NY, 12210","76.26-2-55",42.69956464395558,-73.82092303532833
"455 JAY ST, Albany, NY, 12203","65.61-2-60",42.6614693,-73.7785876
"35 BRADFORD ST, Albany, NY, 12206","65.71-1-37",42.6607489,-73.7687123
"226 ELK ST, Albany, NY, 12210","65.72-4-11",42.6586418,-73.7639162
"72 INDUSTRIAL PARK RD, Albany, NY, 12206","65.22-1-4",42.6750718,-73.7765096
"72 GREEN ST, Albany, NY, 12207","76.50-1-19",42.6465857,-73.7522886
"19 SPRUCE ST, Albany, NY, 12210","76.26-2-54",42.69963762196764,-73.82096730275333
"739 BROADWAY, Albany, NY","65.83-1-30",42.6559864,-73.7480683
"11 ELK ST, Albany, NY, 12207","76.26-3-35",42.6535,-73.7545904
"14 DALLIUS ST, Albany, NY, 12207","76.50-1-24",42.6467612,-73.7514464
"23 LIBERTY ST, Albany, NY, 12207","76.50-1-29",42.646559,-73.7510784
"870 S PEARL ST NEW, Albany, NY, 12202","87.10-2-4",42.62402745,-73.76718214082493
"301 ORANGE ST, Albany, NY, 12210","65.73-2-29",42.6593384,-73.7600498
"292 ORANGE ST, Albany, NY, 12210","65.73-2-36",42.6589781,-73.760243
"59 DELAWARE ST, Albany, NY, 12202","76.56-3-27",42.6414424,-73.7617196
"117 FOURTH AVE, Albany, NY, 12202","76.65-2-56",42.6394545,-73.759326
"230 ORANGE ST, Albany, NY, 12210","65.81-3-9",42.6575927,-73.7578883
"12 S SWAN ST, Albany, NY, 12210","65.81-3-29",42.6567784,-73.7567058
"232 SECOND ST, Albany, NY, 12206","65.64-6-27",42.6624958,-73.7609663
"134 LARK ST, Albany, NY, 12210","65.72-4-46",42.6583955,-73.7613344
"14 S SWAN ST, Albany, NY, 12210","65.81-3-30",42.6566975,-73.7567166
"132 LARK ST, Albany, NY, 12210","65.72-4-47",42.6584689,-73.7612506
"240 SECOND ST, Albany, NY, 12206","65.64-6-23",42.6626968,-73.7612338
"85 DANA AVE, Albany, NY, 12208","76.23-1-47",42.6540149,-73.7716329
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-308",42.65721655,-73.76599333616315
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-407",42.65721655,-73.76599333616315
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-108",42.65721655,-73.76599333616315
"29 YARDBORO AVE, Albany, NY, 12205","53.57-1-9",42.6884635,-73.8025093
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-601",42.65721655,-73.76599333616315
"2 SLIGO ST, Albany, NY, 12209","76.62-3-41",42.63972345,-73.77416030231944
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-506",42.65721655,-73.76599333616315
"283 SHERMAN ST, Albany, NY, 12206","65.55-3-41",42.66474235,-73.77112534547118
"5 CUYLER ST, Albany, NY, 12202","76.64-4-47",42.6394823,-73.76292699922774
"44 KENOSHA ST, Albany, NY, 12209","76.77-2-77",42.634545700000004,-73.77926871983334
"20 FAY ST, Albany, NY, 12203","64.45-1-24",42.6682214,-73.8242197
"439 SECOND ST, Albany, NY, 12206","65.47-4-59",42.66732645,-73.768525
"286 THIRD ST, Albany, NY, 12206","65.56-2-39",42.6648513,-73.76310153561133
"108 ALEXANDER ST, Albany, NY, 12202","76.64-2-7",42.6410937,-73.7635468
"313 THIRD ST, Albany, NY, 12206","65.56-1-48",42.6656052,-73.76384180061125
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-405",42.65721655,-73.76599333616315
"365 THIRD ST, Albany, NY, 12206","65.48-1-40",42.6668862,-73.76574821618664
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-605",42.65721655,-73.76599333616315
"399 STATE ST, Albany, NY, 12210","65.80-3-50.-805",42.65721655,-73.76599333616315
"51 MERELINE AVE, Albany, NY, 12209","75.75-2-37",42.63945665,-73.79217827969043
"54 S SWAN ST, Albany, NY, 12210","76.25-2-19.-5401",42.655118,-73.7583566
